,player_name,position,games,at_bats,runs,hits,doubles,triples,home_runs,RBI,walks,strikeouts,stolen base ,caught_stealing,AVG,on_base_%,slugging_%,OPS
243,B Santiago,C,1978.0,6951.0,755.0,1830.0,323.0,41.0,217.0,920.0,430.0,1270,91.0,69,0.263,0.307,0.415,0.722
244,M Sweeney,1B,1454.0,5188.0,759.0,1540.0,325.0,5.0,215.0,909.0,522.0,613,53.0,25,0.297,0.366,0.486,0.852
245,R Fairly,1B,2442.0,7184.0,931.0,1913.0,307.0,33.0,215.0,1044.0,1052.0,877,35.0,33,0.266,0.36,0.408,0.768
246,P Guerrero,1B,1536.0,5392.0,730.0,1618.0,267.0,29.0,215.0,898.0,609.0,862,97.0,47,0.3,0.37,0.48,0.85
247,C Lemon,CF,1988.0,6868.0,973.0,1875.0,396.0,61.0,215.0,884.0,749.0,1024,58.0,76,0.273,0.355,0.442,0.797
248,J Conine,1B,2024.0,6957.0,870.0,1982.0,385.0,36.0,214.0,1071.0,671.0,1168,54.0,29,0.285,0.347,0.443,0.79
249,J Guillen,RF,1650.0,5888.0,748.0,1591.0,305.0,25.0,214.0,887.0,321.0,1103,31.0,26,0.27,0.321,0.44,0.761
250,M Betts,RF,1117.0,4473.0,873.0,1309.0,308.0,33.0,214.0,650.0,522.0,696,158.0,34,0.293,0.369,0.52,0.889
251,T Hafner,DH,1183.0,4058.0,619.0,1107.0,250.0,13.0,213.0,731.0,598.0,976,11.0,7,0.273,0.376,0.498,0.874
252,A Pafko,CF,1852.0,6292.0,844.0,1796.0,264.0,62.0,213.0,976.0,561.0,477,38.0,13,0.285,0.35,0.449,0.799
253,K Morales,DH,1363.0,4856.0,584.0,1289.0,257.0,7.0,213.0,740.0,417.0,978,6.0,15,0.265,0.327,0.453,0.78
254,B Skowron,1B,1658.0,5547.0,681.0,1566.0,243.0,53.0,211.0,888.0,383.0,870,16.0,18,0.282,0.332,0.459,0.791
255,B Phillips,2B,1902.0,7378.0,1005.0,2029.0,368.0,35.0,211.0,951.0,420.0,1092,209.0,84,0.275,0.32,0.42,0.74
256,K McReynolds,LF,1502.0,5423.0,727.0,1439.0,284.0,35.0,211.0,807.0,522.0,707,93.0,32,0.265,0.328,0.447,0.775
257,L Wagner,LF,1352.0,4426.0,636.0,1202.0,150.0,15.0,211.0,669.0,435.0,656,54.0,24,0.272,0.34,0.455,0.795
258,W Post,RF,1205.0,4007.0,594.0,1064.0,194.0,28.0,210.0,699.0,331.0,813,19.0,13,0.266,0.323,0.485,0.808
259,R Petrocelli,SS,1553.0,5390.0,653.0,1352.0,237.0,22.0,210.0,773.0,661.0,926,10.0,22,0.251,0.332,0.42,0.752
260,R Alomar,2B,2379.0,9073.0,1508.0,2724.0,504.0,80.0,210.0,1134.0,1032.0,1140,474.0,114,0.3,0.371,0.443,0.814
261,B Anderson,RF,1834.0,6499.0,1062.0,1661.0,338.0,67.0,210.0,761.0,960.0,1190,315.0,100,0.256,0.362,0.425,0.787
262,P Nevin,3B,1217.0,4188.0,584.0,1131.0,209.0,6.0,208.0,743.0,449.0,1019,18.0,5,0.27,0.343,0.472,0.815
263,J Thompson,1B,1418.0,4802.0,640.0,1253.0,204.0,12.0,208.0,782.0,816.0,862,8.0,7,0.261,0.366,0.438,0.804
264,D White,CF,1941.0,7344.0,1125.0,1934.0,378.0,71.0,208.0,846.0,541.0,1526,346.0,98,0.263,0.319,0.419,0.738
265,C Blackmon,RF,1408.0,5373.0,884.0,1597.0,288.0,58.0,208.0,712.0,403.0,1004,138.0,56,0.297,0.355,0.489,0.844
266,K Puckett,CF,1783.0,7244.0,1071.0,2304.0,414.0,57.0,207.0,1085.0,450.0,965,134.0,76,0.318,0.36,0.477,0.837
267,R Zisk,RF,1453.0,5144.0,681.0,1477.0,245.0,26.0,207.0,792.0,533.0,910,8.0,15,0.287,0.353,0.466,0.819
268,G Bell,CF,1741.0,6478.0,865.0,1823.0,311.0,66.0,206.0,942.0,470.0,636,30.0,31,0.281,0.33,0.445,0.775
269,F Alou,RF,2082.0,7339.0,985.0,2101.0,359.0,49.0,206.0,852.0,423.0,706,107.0,67,0.286,0.328,0.433,0.761
270,P Incaviglia,LF,1284.0,4233.0,546.0,1043.0,194.0,21.0,206.0,655.0,360.0,1277,33.0,26,0.246,0.31,0.448,0.758
