,player_name,position,games,at_bats,runs,hits,doubles,triples,home_runs,RBI,walks,strikeouts,stolen base ,caught_stealing,AVG,on_base_%,slugging_%,OPS
581,J Fournier,1B,1530.0,5208.0,822.0,1631.0,252.0,113.0,136.0,859.0,587.0,408,145.0,94,0.313,0.392,0.483,0.875
582,A Rowand,CF,1358.0,4374.0,613.0,1193.0,267.0,18.0,136.0,536.0,261.0,914,67.0,30,0.273,0.33,0.435,0.765
583,H Lopez,LF,1450.0,4644.0,623.0,1251.0,193.0,37.0,136.0,591.0,418.0,696,16.0,23,0.269,0.33,0.415,0.745
584,T Gwynn,RF,2440.0,9288.0,1383.0,3141.0,543.0,85.0,135.0,1138.0,790.0,434,319.0,125,0.338,0.388,0.459,0.847
585,G McQuinn,1B,1550.0,5747.0,832.0,1588.0,315.0,64.0,135.0,794.0,712.0,634,32.0,31,0.276,0.357,0.424,0.781
586,T Jackson,SS,1657.0,6086.0,833.0,1768.0,291.0,86.0,135.0,929.0,412.0,565,71.0,13,0.291,0.337,0.433,0.77
587,R Collins,1B,1084.0,3784.0,615.0,1121.0,205.0,65.0,135.0,659.0,356.0,373,18.0,--,0.296,0.36,0.492,0.852
588,A Garc?a,RF,1052.0,3800.0,484.0,1006.0,150.0,16.0,135.0,510.0,257.0,989,49.0,32,0.265,0.319,0.419,0.738
589,J Presley,3B,959.0,3546.0,413.0,875.0,181.0,14.0,135.0,495.0,210.0,859,9.0,14,0.247,0.29,0.42,0.71
590,L Scott,DH,889.0,2810.0,370.0,725.0,181.0,20.0,135.0,436.0,334.0,662,17.0,7,0.258,0.34,0.481,0.821
591,J Soler,LF,737.0,2542.0,340.0,614.0,141.0,3.0,135.0,379.0,300.0,791,10.0,5,0.242,0.327,0.459,0.786
592,D Gregorius,SS,1077.0,3893.0,503.0,999.0,180.0,27.0,134.0,530.0,254.0,612,37.0,16,0.257,0.308,0.42,0.728
593,P Blair,CF,1947.0,6042.0,776.0,1513.0,282.0,55.0,134.0,620.0,449.0,877,171.0,93,0.25,0.302,0.382,0.684
594,M Hall,LF,1276.0,4237.0,568.0,1171.0,229.0,25.0,134.0,620.0,267.0,575,31.0,22,0.276,0.318,0.437,0.755
595,T Haller,C,1294.0,3935.0,461.0,1011.0,153.0,31.0,134.0,504.0,477.0,593,14.0,30,0.257,0.34,0.414,0.754
596,J Buck,C,1090.0,3612.0,389.0,844.0,172.0,9.0,134.0,491.0,307.0,959,6.0,12,0.234,0.301,0.398,0.699
597,J Realmuto,C,1008.0,3690.0,521.0,1017.0,208.0,29.0,134.0,515.0,269.0,809,79.0,18,0.276,0.332,0.457,0.789
598,C Dickerson,LF,1036.0,3530.0,471.0,992.0,230.0,36.0,134.0,452.0,221.0,773,30.0,24,0.281,0.324,0.48,0.804
599,E Joost,SS,1575.0,5606.0,874.0,1339.0,238.0,35.0,134.0,601.0,1043.0,827,61.0,31,0.239,0.361,0.366,0.727
600,C Baerga,2B,1630.0,5439.0,731.0,1583.0,279.0,17.0,134.0,774.0,291.0,580,59.0,24,0.291,0.332,0.423,0.755
601,D Bell,RF,1210.0,4578.0,642.0,1262.0,232.0,15.0,134.0,668.0,377.0,955,170.0,51,0.276,0.336,0.421,0.757
602,E Whitt,C,1328.0,3774.0,447.0,938.0,176.0,15.0,134.0,534.0,436.0,491,22.0,26,0.249,0.324,0.41,0.734
603,M Pagliarulo,3B,1245.0,3901.0,462.0,942.0,206.0,18.0,134.0,505.0,343.0,785,18.0,16,0.241,0.306,0.407,0.713
604,F Malzone,3B,1441.0,5428.0,647.0,1486.0,239.0,21.0,133.0,728.0,337.0,434,14.0,14,0.274,0.315,0.399,0.714
605,T Hern?ndez,RF,655.0,2334.0,352.0,608.0,133.0,10.0,133.0,380.0,188.0,748,35.0,20,0.26,0.318,0.497,0.815
606,M Jones,CF,1002.0,3091.0,485.0,778.0,132.0,31.0,133.0,415.0,383.0,756,65.0,40,0.252,0.347,0.444,0.791
607,M Conforto,RF,761.0,2568.0,401.0,652.0,141.0,4.0,133.0,397.0,362.0,719,18.0,11,0.254,0.355,0.467,0.822
608,N Siebern,1B,1406.0,4481.0,662.0,1217.0,206.0,38.0,132.0,636.0,708.0,748,18.0,25,0.272,0.369,0.423,0.792
609,J Rivera,LF,1058.0,3471.0,425.0,950.0,182.0,4.0,132.0,539.0,253.0,448,17.0,26,0.274,0.323,0.443,0.766
610,A Martin,LF,1232.0,4242.0,664.0,1172.0,220.0,48.0,132.0,485.0,390.0,879,173.0,65,0.276,0.339,0.444,0.783
611,C Ross,RF,1073.0,3453.0,449.0,904.0,211.0,13.0,132.0,508.0,282.0,800,33.0,13,0.262,0.322,0.445,0.767
612,Z Wheat,LF,2410.0,9106.0,1289.0,2884.0,476.0,172.0,132.0,1248.0,650.0,559,205.0,49,0.317,0.367,0.45,0.817
613,Y Puig,RF,861.0,3015.0,441.0,834.0,159.0,21.0,132.0,415.0,297.0,681,79.0,38,0.277,0.348,0.475,0.823
614,D Long,1B,1014.0,3020.0,384.0,805.0,135.0,33.0,132.0,467.0,353.0,460,10.0,3,0.267,0.341,0.464,0.805
615,W Covington,LF,1075.0,2978.0,355.0,832.0,128.0,17.0,131.0,499.0,247.0,414,7.0,4,0.279,0.337,0.466,0.803
616,K Harrelson,1B,900.0,2941.0,374.0,703.0,94.0,14.0,131.0,421.0,382.0,577,53.0,30,0.239,0.325,0.414,0.739
617,J Milner,1B,1215.0,3436.0,455.0,855.0,140.0,16.0,131.0,498.0,504.0,473,31.0,22,0.249,0.344,0.413,0.757
618,J Kuhel,1B,2104.0,7984.0,1236.0,2212.0,412.0,111.0,131.0,1049.0,980.0,612,178.0,90,0.277,0.359,0.406,0.765
619,S Kemp,LF,1168.0,4058.0,581.0,1128.0,179.0,25.0,130.0,634.0,576.0,605,39.0,24,0.278,0.367,0.431,0.798
620,M Franco,3B,923.0,3309.0,364.0,809.0,163.0,4.0,130.0,467.0,221.0,569,5.0,1,0.244,0.293,0.414,0.707
621,M Greenwell,LF,1269.0,4623.0,657.0,1400.0,275.0,38.0,130.0,726.0,460.0,364,80.0,43,0.303,0.368,0.463,0.831
622,C Crisp,CF,1586.0,5930.0,877.0,1572.0,308.0,57.0,130.0,639.0,561.0,865,309.0,79,0.265,0.327,0.402,0.729
623,W Marshall,RF,1247.0,4233.0,583.0,1160.0,163.0,39.0,130.0,604.0,458.0,219,14.0,4,0.274,0.347,0.423,0.77
624,J Orta,2B,1755.0,5829.0,733.0,1619.0,267.0,63.0,130.0,745.0,500.0,716,79.0,60,0.278,0.334,0.412,0.746
625,S Casey,1B,1405.0,5066.0,690.0,1531.0,322.0,12.0,130.0,735.0,477.0,577,18.0,8,0.302,0.367,0.447,0.814
626,M Epstein,1B,907.0,2854.0,362.0,695.0,93.0,16.0,130.0,380.0,448.0,645,7.0,17,0.244,0.358,0.424,0.782
627,C Guillen,SS,1305.0,4673.0,733.0,1331.0,266.0,51.0,124.0,660.0,510.0,804,74.0,47,0.285,0.355,0.443,0.798
628,S Drew,SS,1268.0,4403.0,565.0,1109.0,258.0,63.0,123.0,524.0,435.0,926,41.0,19,0.252,0.318,0.423,0.741
629,O Cabrera,SS,1985.0,7562.0,985.0,2055.0,459.0,32.0,123.0,854.0,514.0,745,216.0,57,0.272,0.317,0.39,0.707
630,D Bell,3B,1403.0,4826.0,587.0,1239.0,267.0,18.0,123.0,589.0,428.0,687,19.0,20,0.257,0.32,0.396,0.716
631,E Valentine,OF,894.0,3166.0,380.0,881.0,169.0,15.0,123.0,474.0,180.0,462,59.0,37,0.278,0.315,0.458,0.773
632,J Randa,3B,1522.0,5428.0,697.0,1543.0,327.0,36.0,123.0,739.0,432.0,738,42.0,26,0.284,0.339,0.426,0.765
633,K Phelps,DH,761.0,1854.0,308.0,443.0,64.0,7.0,123.0,313.0,390.0,449,10.0,7,0.239,0.374,0.48,0.854
634,W Upshaw,1B,1264.0,4203.0,596.0,1103.0,199.0,45.0,123.0,528.0,452.0,642,88.0,59,0.262,0.335,0.419,0.754
635,B Miller,1B,1030.0,3083.0,391.0,730.0,129.0,30.0,123.0,401.0,341.0,864,43.0,18,0.237,0.314,0.418,0.732
636,K Henderson,CF,1444.0,4553.0,595.0,1168.0,216.0,26.0,122.0,576.0,589.0,763,86.0,42,0.257,0.343,0.396,0.739
637,B Wilkerson,LF,972.0,3187.0,500.0,788.0,193.0,28.0,122.0,399.0,492.0,947,53.0,43,0.247,0.35,0.44,0.79
638,D Lock,CF,921.0,2695.0,359.0,642.0,92.0,12.0,122.0,373.0,373.0,776,30.0,29,0.238,0.331,0.417,0.748
639,J Ferguson,C,1013.0,3001.0,407.0,719.0,121.0,11.0,122.0,445.0,562.0,607,22.0,12,0.24,0.358,0.409,0.767
640,M Cordova,LF,952.0,3419.0,480.0,938.0,192.0,18.0,122.0,540.0,329.0,730,57.0,36,0.274,0.344,0.448,0.792
641,W Cordero,LF,1247.0,4311.0,587.0,1178.0,261.0,19.0,122.0,566.0,325.0,775,49.0,19,0.273,0.33,0.428,0.758
642,N Esasky,1B,810.0,2703.0,336.0,677.0,120.0,21.0,122.0,427.0,314.0,712,18.0,14,0.25,0.329,0.446,0.775
643,G Jones,1B,911.0,2924.0,347.0,734.0,178.0,12.0,122.0,400.0,265.0,680,28.0,10,0.251,0.312,0.445,0.757
644,H Stovey,1B,1486.0,6138.0,1492.0,1771.0,347.0,174.0,122.0,908.0,663.0,343,509.0,--,0.289,0.361,0.461,0.822
645,J Blauser,SS,1407.0,4522.0,691.0,1187.0,217.0,33.0,122.0,513.0,569.0,937,65.0,41,0.262,0.354,0.406,0.76
646,J Hall,CF,963.0,2848.0,387.0,724.0,100.0,24.0,121.0,391.0,287.0,529,38.0,18,0.254,0.321,0.434,0.755
647,A Kearns,RF,1125.0,3606.0,522.0,914.0,187.0,13.0,121.0,494.0,475.0,898,33.0,21,0.253,0.351,0.413,0.764
648,D Ford,RF,1153.0,4163.0,598.0,1123.0,214.0,38.0,121.0,566.0,303.0,722,61.0,37,0.27,0.324,0.427,0.751
649,G Roenicke,LF,1064.0,2708.0,367.0,670.0,135.0,4.0,121.0,410.0,406.0,428,16.0,20,0.247,0.351,0.434,0.785
650,K Moreland,RF,1306.0,4581.0,511.0,1279.0,214.0,14.0,121.0,674.0,405.0,515,28.0,33,0.279,0.335,0.411,0.746
651,J Gyorko,2B,847.0,2693.0,317.0,659.0,111.0,5.0,121.0,370.0,248.0,670,14.0,6,0.245,0.31,0.424,0.734
652,J Lowrie,SS,1307.0,4615.0,590.0,1185.0,292.0,17.0,121.0,594.0,503.0,895,8.0,3,0.257,0.33,0.406,0.736
653,W Gross,3B,1106.0,3125.0,373.0,727.0,126.0,9.0,121.0,396.0,482.0,496,24.0,22,0.233,0.337,0.395,0.732
654,R Acu?a,RF,517.0,1996.0,396.0,553.0,102.0,7.0,121.0,297.0,263.0,584,108.0,32,0.277,0.37,0.517,0.887
655,M McManus,2B,1831.0,6660.0,1008.0,1926.0,401.0,88.0,120.0,996.0,675.0,558,126.0,91,0.289,0.357,0.43,0.787
656,B Jacoby,3B,1311.0,4520.0,535.0,1220.0,204.0,24.0,120.0,545.0,439.0,764,16.0,25,0.27,0.334,0.405,0.739
657,S Spiezio,1B,1274.0,3899.0,517.0,996.0,225.0,27.0,119.0,549.0,412.0,594,33.0,23,0.255,0.329,0.419,0.748
658,G Cravath,RF,1226.0,3951.0,575.0,1134.0,232.0,83.0,119.0,719.0,561.0,514,89.0,9,0.287,0.38,0.478,0.858
659,R Greer,LF,1027.0,3829.0,643.0,1166.0,258.0,25.0,119.0,614.0,519.0,555,31.0,15,0.305,0.387,0.478,0.865
660,R Thompson,2B,1304.0,4612.0,671.0,1187.0,238.0,39.0,119.0,458.0,439.0,987,103.0,62,0.257,0.329,0.403,0.732
661,F Hayes,C,1364.0,4493.0,545.0,1164.0,213.0,32.0,119.0,628.0,564.0,627,30.0,20,0.259,0.343,0.4,0.743
662,M Cochrane,C,1482.0,5169.0,1041.0,1652.0,333.0,64.0,119.0,832.0,857.0,217,64.0,46,0.32,0.419,0.478,0.897
663,Z Bonura,1B,917.0,3582.0,600.0,1099.0,232.0,29.0,119.0,704.0,404.0,180,19.0,7,0.307,0.38,0.487,0.867
664,J Payton,CF,1259.0,4154.0,561.0,1157.0,193.0,30.0,119.0,522.0,255.0,503,47.0,32,0.279,0.323,0.425,0.748
665,E Kranepool,1B,1853.0,5436.0,536.0,1418.0,225.0,25.0,118.0,614.0,454.0,581,15.0,27,0.261,0.316,0.377,0.693
666,B Grieve,RF,976.0,3215.0,471.0,864.0,192.0,5.0,118.0,492.0,466.0,784,24.0,5,0.269,0.367,0.442,0.809
667,B Gilkey,LF,1239.0,4061.0,606.0,1115.0,244.0,24.0,118.0,546.0,466.0,708,115.0,71,0.275,0.352,0.434,0.786
668,C Patterson,CF,1230.0,4171.0,571.0,1050.0,197.0,34.0,118.0,431.0,206.0,933,218.0,64,0.252,0.29,0.4,0.69
669,L Cardenas,SS,1941.0,6707.0,662.0,1725.0,285.0,49.0,118.0,689.0,522.0,1135,39.0,48,0.257,0.311,0.367,0.678
670,M Adams,1B,856.0,2421.0,297.0,624.0,130.0,6.0,118.0,399.0,165.0,643,4.0,4,0.258,0.306,0.463,0.769
671,T Walker,OF,1428.0,5067.0,696.0,1423.0,244.0,71.0,118.0,679.0,416.0,504,129.0,47,0.281,0.339,0.427,0.766
672,K Bass,RF,1571.0,4838.0,609.0,1308.0,248.0,40.0,118.0,611.0,357.0,667,151.0,73,0.27,0.323,0.411,0.734
673,J Ryan,OF,234.0,8164.0,1642.0,2512.0,451.0,157.0,118.0,1093.0,803.0,361,418.0,--,0.308,0.375,0.444,0.819
674,M Easler,LF,1151.0,3677.0,465.0,1078.0,189.0,25.0,118.0,522.0,321.0,696,20.0,25,0.293,0.349,0.454,0.803
675,W Boggs,3B,2440.0,9180.0,1513.0,3010.0,578.0,61.0,118.0,1014.0,1412.0,745,24.0,35,0.328,0.415,0.443,0.858
676,D Pasqua,LF,904.0,2620.0,341.0,638.0,129.0,15.0,117.0,390.0,335.0,642,7.0,10,0.244,0.33,0.438,0.768
677,G Maddox,CF,1749.0,6331.0,777.0,1802.0,337.0,62.0,117.0,754.0,323.0,781,248.0,92,0.285,0.32,0.413,0.733
678,J King,RF,1125.0,2918.0,374.0,699.0,112.0,19.0,117.0,401.0,363.0,401,23.0,8,0.24,0.326,0.411,0.737
679,C Laabs,LF,950.0,3102.0,467.0,813.0,151.0,44.0,117.0,509.0,389.0,595,32.0,22,0.262,0.346,0.452,0.798
680,T Speaker,CF,2792.0,10195.0,1881.0,3515.0,792.0,222.0,117.0,1529.0,1381.0,220,432.0,129,0.345,0.428,0.5,0.928
681,I Suzuki,RF,2653.0,9934.0,1420.0,3089.0,362.0,96.0,117.0,780.0,647.0,1080,509.0,117,0.311,0.355,0.402,0.757
682,W Contreras,C,736.0,2489.0,356.0,640.0,134.0,10.0,117.0,365.0,279.0,687,22.0,17,0.257,0.349,0.46,0.809
683,K Gruber,3B,938.0,3159.0,431.0,818.0,148.0,24.0,117.0,443.0,197.0,504,80.0,33,0.259,0.307,0.432,0.739
684,T Cobb,CF,3034.0,11429.0,2246.0,4191.0,723.0,297.0,117.0,1938.0,1249.0,357,892.0,178,0.367,0.433,0.513,0.946
685,M Stanley,OF,1517.0,5022.0,641.0,1243.0,201.0,48.0,117.0,500.0,371.0,564,44.0,23,0.248,0.298,0.377,0.675
686,R Reichardt,LF,997.0,3307.0,391.0,864.0,109.0,24.0,116.0,445.0,263.0,672,40.0,41,0.261,0.326,0.414,0.74
687,J Lowenstein,LF,1368.0,3476.0,510.0,881.0,137.0,18.0,116.0,441.0,446.0,596,128.0,78,0.253,0.337,0.403,0.74
688,B Miller,RF,1821.0,6212.0,946.0,1934.0,389.0,96.0,116.0,990.0,383.0,340,127.0,82,0.311,0.359,0.461,0.82
689,S Lopata,C,853.0,2601.0,375.0,661.0,116.0,25.0,116.0,397.0,393.0,497,18.0,11,0.254,0.351,0.452,0.803
690,C Sabo,3B,911.0,3354.0,494.0,898.0,214.0,17.0,116.0,426.0,274.0,460,120.0,49,0.268,0.326,0.445,0.771
691,T Lee,1B,1099.0,3740.0,476.0,958.0,191.0,16.0,115.0,488.0,457.0,704,59.0,20,0.256,0.337,0.408,0.745
692,A Ramirez,SS,1371.0,5134.0,601.0,1387.0,249.0,17.0,115.0,590.0,263.0,650,143.0,63,0.27,0.307,0.392,0.699
693,C Monroe,LF,814.0,2691.0,368.0,678.0,146.0,9.0,115.0,433.0,188.0,588,19.0,18,0.252,0.301,0.441,0.742
694,S Stewart,LF,1386.0,5574.0,853.0,1653.0,315.0,41.0,115.0,580.0,504.0,684,196.0,71,0.297,0.36,0.43,0.79
695,B Robertson,1B,829.0,2385.0,283.0,578.0,93.0,10.0,115.0,368.0,317.0,546,7.0,9,0.242,0.331,0.434,0.765
696,G Freese,3B,1115.0,3446.0,429.0,877.0,161.0,28.0,115.0,432.0,243.0,535,51.0,26,0.254,0.305,0.418,0.723
697,D Hurst,1B,905.0,3275.0,510.0,976.0,190.0,28.0,115.0,610.0,391.0,210,41.0,--,0.298,0.375,0.478,0.853
698,M Thames,LF,640.0,1827.0,256.0,450.0,83.0,4.0,115.0,301.0,159.0,510,3.0,9,0.246,0.309,0.485,0.794
699,J Lynch,LF,1184.0,2879.0,364.0,798.0,123.0,34.0,115.0,470.0,224.0,416,12.0,17,0.277,0.329,0.463,0.792
700,T Pham,CF,880.0,2966.0,505.0,771.0,137.0,18.0,115.0,366.0,408.0,817,98.0,29,0.26,0.355,0.435,0.79
701,L Valbuena,3B,1011.0,3148.0,377.0,710.0,169.0,9.0,114.0,367.0,374.0,788,11.0,16,0.226,0.31,0.394,0.704
702,R Belliard,2B,1484.0,5045.0,685.0,1377.0,328.0,24.0,114.0,601.0,488.0,797,43.0,28,0.273,0.338,0.415,0.753
703,W Lockman,1B,1666.0,5940.0,836.0,1658.0,222.0,49.0,114.0,563.0,552.0,383,43.0,27,0.279,0.342,0.391,0.733
704,T Shaw,3B,733.0,2374.0,310.0,563.0,127.0,3.0,114.0,366.0,275.0,650,20.0,4,0.237,0.319,0.437,0.756
705,B Fullmer,DH,807.0,2789.0,395.0,778.0,203.0,16.0,114.0,442.0,216.0,373,32.0,21,0.279,0.336,0.486,0.822
706,D Freese,3B,1184.0,3758.0,481.0,1041.0,197.0,7.0,113.0,535.0,370.0,974,8.0,11,0.277,0.351,0.423,0.774
707,P Waner,RF,2550.0,9459.0,1627.0,3152.0,605.0,191.0,113.0,1309.0,1091.0,376,104.0,0,0.333,0.404,0.473,0.877
708,T Munson,C,1423.0,5344.0,696.0,1558.0,229.0,32.0,113.0,701.0,438.0,571,48.0,50,0.292,0.346,0.41,0.756
709,L O'Doul,LF,970.0,3264.0,624.0,1140.0,175.0,41.0,113.0,542.0,333.0,122,36.0,0,0.349,0.413,0.532,0.945
710,R Furcal,SS,1614.0,6477.0,1063.0,1817.0,311.0,69.0,113.0,587.0,643.0,910,314.0,94,0.281,0.346,0.402,0.748
711,T Kennedy,C,1491.0,4979.0,474.0,1313.0,244.0,12.0,113.0,628.0,365.0,855,6.0,15,0.264,0.314,0.386,0.7
712,C Hinton,LF,1354.0,3968.0,518.0,1048.0,152.0,47.0,113.0,443.0,416.0,685,130.0,50,0.264,0.332,0.412,0.744
713,F Tatis,3B,949.0,3051.0,427.0,807.0,174.0,14.0,113.0,448.0,321.0,709,50.0,21,0.265,0.344,0.442,0.786
714,G Walker,1B,855.0,2864.0,368.0,746.0,164.0,19.0,113.0,444.0,268.0,520,19.0,12,0.26,0.326,0.449,0.775
715,J Cirillo,3B,1617.0,5396.0,800.0,1598.0,343.0,21.0,112.0,727.0,563.0,694,63.0,37,0.296,0.366,0.43,0.796
716,J Morrison,3B,1089.0,3375.0,371.0,876.0,170.0,16.0,112.0,435.0,213.0,521,50.0,37,0.26,0.305,0.419,0.724
717,D Hollins,3B,983.0,3346.0,578.0,870.0,166.0,17.0,112.0,482.0,464.0,687,47.0,27,0.26,0.358,0.42,0.778
718,G McDougald,2B,1336.0,4676.0,697.0,1291.0,187.0,51.0,112.0,576.0,559.0,623,45.0,44,0.276,0.356,0.41,0.766
719,M Haniger,RF,564.0,2164.0,344.0,565.0,109.0,10.0,112.0,323.0,217.0,583,18.0,6,0.261,0.335,0.476,0.811
720,S Alomar,C,1377.0,4530.0,520.0,1236.0,249.0,10.0,112.0,588.0,212.0,499,25.0,24,0.273,0.309,0.406,0.715
721,C Speier,SS,2260.0,7156.0,770.0,1759.0,302.0,50.0,112.0,720.0,847.0,988,42.0,54,0.246,0.327,0.349,0.676
722,J Brandt,CF,1221.0,3895.0,540.0,1020.0,175.0,37.0,112.0,485.0,351.0,574,45.0,30,0.262,0.323,0.412,0.735
723,C Blefary,LF,974.0,2947.0,394.0,699.0,104.0,20.0,112.0,382.0,456.0,444,24.0,24,0.237,0.342,0.4,0.742
724,M Alvis,3B,1014.0,3629.0,421.0,895.0,142.0,22.0,111.0,373.0,262.0,662,43.0,46,0.247,0.302,0.39,0.692
725,G Gagne,SS,1798.0,5673.0,712.0,1440.0,296.0,50.0,111.0,604.0,367.0,1121,108.0,96,0.254,0.302,0.382,0.684
726,R Cullenbine,RF,1181.0,3879.0,627.0,1072.0,209.0,32.0,110.0,599.0,853.0,399,26.0,20,0.276,0.408,0.432,0.84
727,D Peralta,LF,1011.0,3568.0,444.0,1004.0,202.0,47.0,110.0,487.0,295.0,766,33.0,16,0.281,0.339,0.457,0.796
728,M Ensberg,3B,731.0,2204.0,340.0,579.0,102.0,10.0,110.0,347.0,332.0,436,22.0,19,0.263,0.362,0.468,0.83
729,R Winn,CF,1717.0,6186.0,863.0,1759.0,367.0,59.0,110.0,662.0,526.0,1010,215.0,84,0.284,0.343,0.416,0.759
730,W Aikens,1B,774.0,2492.0,301.0,675.0,125.0,2.0,110.0,415.0,319.0,444,3.0,6,0.271,0.354,0.455,0.809
731,G Brock,1B,1013.0,3202.0,420.0,794.0,141.0,6.0,110.0,462.0,434.0,469,41.0,18,0.248,0.338,0.399,0.737
732,J Saltalamacchia,C,895.0,2852.0,377.0,662.0,161.0,6.0,110.0,381.0,304.0,984,5.0,7,0.232,0.306,0.408,0.714
733,H Manush,LF,2009.0,7654.0,1288.0,2524.0,491.0,160.0,110.0,1183.0,506.0,345,114.0,58,0.33,0.377,0.479,0.856
734,J Hammonds,RF,957.0,3032.0,475.0,824.0,172.0,17.0,110.0,423.0,292.0,596,67.0,30,0.272,0.338,0.449,0.787
735,R Clayton,SS,2108.0,7379.0,935.0,1904.0,363.0,55.0,110.0,723.0,565.0,1415,231.0,100,0.258,0.312,0.367,0.679
736,D Duncan,C,929.0,2885.0,274.0,617.0,79.0,4.0,109.0,341.0,252.0,677,5.0,14,0.214,0.279,0.357,0.636
737,F Galvis,SS,1102.0,3921.0,436.0,966.0,171.0,27.0,109.0,426.0,241.0,853,57.0,21,0.246,0.292,0.387,0.679
738,E Byrnes,LF,963.0,3202.0,482.0,827.0,191.0,30.0,109.0,396.0,253.0,538,129.0,23,0.258,0.32,0.439,0.759
739,D Young,LF,1118.0,4108.0,473.0,1162.0,218.0,11.0,109.0,566.0,179.0,784,36.0,21,0.283,0.316,0.421,0.737
740,J Aguilar,1B,762.0,2254.0,280.0,574.0,105.0,2.0,109.0,393.0,228.0,595,1.0,1,0.255,0.324,0.448,0.772
741,P Garner,2B,1860.0,6136.0,780.0,1594.0,299.0,82.0,109.0,738.0,564.0,842,225.0,105,0.26,0.323,0.389,0.712
742,S Hillenbrand,3B,943.0,3570.0,463.0,1014.0,202.0,15.0,108.0,490.0,140.0,464,16.0,12,0.284,0.321,0.44,0.761
743,A Cowens,RF,1584.0,5534.0,704.0,1494.0,276.0,68.0,108.0,717.0,389.0,659,120.0,75,0.27,0.319,0.403,0.722
744,J Bradley,CF,1140.0,3633.0,505.0,825.0,199.0,27.0,108.0,443.0,357.0,1037,69.0,18,0.227,0.306,0.386,0.692
745,G Matthews,CF,1281.0,4103.0,612.0,1056.0,225.0,29.0,108.0,484.0,454.0,849,95.0,36,0.257,0.332,0.405,0.737
746,J Lucroy,C,1210.0,4140.0,483.0,1134.0,217.0,24.0,108.0,548.0,369.0,662,30.0,9,0.274,0.335,0.416,0.751
747,J Loney,1B,1443.0,5023.0,528.0,1425.0,267.0,21.0,108.0,669.0,397.0,652,38.0,21,0.284,0.336,0.41,0.746
748,J Howell,3B,941.0,2639.0,345.0,632.0,129.0,16.0,108.0,337.0,300.0,626,14.0,15,0.239,0.318,0.423,0.741
749,S Victorino,CF,1299.0,4630.0,731.0,1274.0,231.0,70.0,108.0,489.0,381.0,626,231.0,46,0.275,0.34,0.425,0.765
750,C Martinez,LF,1003.0,2906.0,350.0,713.0,134.0,7.0,108.0,424.0,404.0,528,10.0,16,0.245,0.337,0.408,0.745
751,G Selkirk,RF,846.0,2790.0,503.0,810.0,131.0,41.0,108.0,576.0,486.0,319,49.0,32,0.29,0.4,0.483,0.883
752,R Northey,RF,1084.0,3172.0,385.0,874.0,172.0,28.0,108.0,513.0,361.0,297,7.0,0,0.276,0.352,0.45,0.802
753,J Dykes,3B,2283.0,8046.0,1108.0,2256.0,453.0,90.0,108.0,1071.0,958.0,850,70.0,55,0.28,0.365,0.399,0.764
754,G Soto,C,797.0,2522.0,308.0,619.0,146.0,4.0,108.0,361.0,311.0,673,3.0,5,0.245,0.33,0.435,0.765
755,F Whitfield,1B,817.0,2284.0,242.0,578.0,93.0,8.0,108.0,356.0,139.0,371,7.0,16,0.253,0.298,0.443,0.741
756,D Litwhiler,LF,1057.0,3494.0,428.0,982.0,162.0,32.0,107.0,451.0,299.0,377,11.0,0,0.281,0.342,0.438,0.78
757,T Pe?a,C,1988.0,6489.0,667.0,1687.0,298.0,27.0,107.0,708.0,455.0,846,80.0,63,0.26,0.309,0.364,0.673
758,D LeMahieu,2B,1427.0,5314.0,810.0,1578.0,249.0,36.0,107.0,582.0,483.0,858,91.0,46,0.297,0.356,0.418,0.774
759,T Walker,2B,1288.0,4554.0,647.0,1316.0,284.0,30.0,107.0,545.0,421.0,571,66.0,37,0.289,0.348,0.435,0.783
760,M Gonzalez,SS,1139.0,3526.0,420.0,888.0,183.0,8.0,107.0,415.0,261.0,812,44.0,28,0.252,0.31,0.399,0.709
761,L Herndon,LF,1537.0,4877.0,605.0,1334.0,186.0,76.0,107.0,550.0,353.0,793,92.0,56,0.274,0.322,0.409,0.731
762,J Segura,3B,1331.0,5206.0,712.0,1480.0,232.0,45.0,107.0,492.0,302.0,782,205.0,71,0.284,0.33,0.408,0.738
763,M Tiernan,OF,1476.0,5906.0,1313.0,1835.0,256.0,162.0,106.0,851.0,747.0,318,428.0,--,0.311,0.392,0.463,0.855
764,S Hairston,LF,923.0,2431.0,300.0,589.0,133.0,17.0,106.0,313.0,175.0,577,36.0,11,0.242,0.296,0.442,0.738
765,D Ross,C,883.0,2280.0,254.0,521.0,116.0,5.0,106.0,314.0,287.0,735,3.0,5,0.229,0.316,0.423,0.739
766,R Repulski,LF,928.0,3088.0,407.0,830.0,153.0,23.0,106.0,416.0,207.0,433,25.0,29,0.269,0.319,0.436,0.755
767,B Campbell,RF,1360.0,4762.0,759.0,1382.0,295.0,87.0,106.0,766.0,548.0,584,53.0,50,0.29,0.367,0.455,0.822
768,F Reyes,OF,531.0,1828.0,232.0,457.0,73.0,4.0,106.0,278.0,170.0,616,6.0,2,0.25,0.313,0.468,0.781
769,H Duffy,CF,113.0,7042.0,1552.0,2292.0,325.0,119.0,106.0,1302.0,662.0,211,574.0,--,0.325,0.386,0.449,0.835
